genomic island,type of genomic island,role of the genomic island,base composition (%G+C),strain,strain Genbank sequence ID,genomic island GenBank Sequence ID,size (kb),start,end,source(s),PMID(s),notes,file name,,,
GIt 5,,100% identity with PAGI-9 from Pseudomonas aeruginosa PSE9,,Pseudomonas aeruginosa KRP1,CP046069,,7.4,1222896,1230252,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
PI 12/RI 12,,99.97% identity with PAGI-10 from Pseudomonas aeruginosa PSE9,,Pseudomonas aeruginosa KRP1,CP046069,,25.9,2895779,2921721,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GIt 14,,100% identity with PAGI-11 from Pseudomonas aeruginosa PSE9,,Pseudomonas aeruginosa KRP1,CP046069,,2,3577280,3579282,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
PI 8,,98.62% identity with LESGI-1 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069,,45.5,2424758,2470270,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GI PI 11a/GI SI 11a/GI RI 11a,,"99.54% identity with LESGI-3 from Pseudomonas aeruginosa LESB58. Note: GI 11 splits into GI 11a and GIt 11b, but is summarized in Table 4 as simply GI 11)",,Pseudomonas aeruginosa KRP1,CP046069,,112.6,2632036,2744677,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GIt 11b ,,99.54% identity with LESGI-3 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069,,2.4,2751082,2753517,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GI 13,,99.61% identity with LESGI-4 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069.1,,51.4,3221391,3272809,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,CP046069.1_3221391_3272809.fasta,,,
GI2,,99.36% identity with LESGI-6 from P. aeruoginsa LESB58,,Pseudomonas aeruginosa KRP1,CP046069.1,,12.4,285777,298203,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,CP046069.1_285777_298203.fasta,,,
GIt 9,,99.41% dentity with LESGI-8 from; from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069,,5,2533287,2538355,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GIt 10,,99.75% identity with LESGI-9; from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069,,8.3,2556402,2564724,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GIt 15,,99.55% identity with LESGI-12 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069,,8.4,3769299,3777692,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GI 17,,99.6% identity with LESGI-13 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069,,24.3,4592095,4616393,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GIt18,,99.56% identity with LESGI-14 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069.1,,6.2,4762338,4768531,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,CP046069.1_4762338_4768531.fasta,,,
GI21,,99.73% identity with LESGI-15 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069.1,,10.9,5615479,5626409,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,CP046069.1_5615479_5626409.fasta,,,
GI 22,,99.62% identity with LESGI-16 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069,,27.2,5700164,5727413,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
GI 23,,89.31% identity with LES-prophage 4 from Pseudomonas aeruginosa LESB58,,Pseudomonas aeruginosa KRP1,CP046069,,36.3,5875381,5911730,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,,,,
PAGI-13,,"Contains rmtD and In163. Contains genes for integrases, phages, prophages, transposable elements, plasmids,; cell signaling, virulence, disease, defense, stress response, hypothetical proteins.",62.3,"Pseudomonas aeruginosa clone ST277, strain CCBH4851",KT454971.1,,197.4,191222,388622,"Silveira MC, Albano RM, Asensi MD, Carvalho-Assef AP. Description of genomic islands associated to the multidrug-resistant Pseudomonas aeruginosa clone ST277. Infect Genet Evol. 2016 Aug 42:60-5. doi: 10.1016/j.meegid.2016.04.024. Epub 2016 Apr 21. ",27108807,The end coordinate is an approximations based on the given start coordinate and size.,,,,
PAGI-14,,"Contains genes encoding proteins related to type III restriction system, regulation, an integrase, and phages. Mostly hypothetical proteins.",55,"Pseudomonas aeruginosa clone ST277, strain CCBH4851",KT454971.1,,47.5,557921,605421,"Silveira MC, Albano RM, Asensi MD, Carvalho-Assef AP. Description of genomic islands associated to the multidrug-resistant Pseudomonas aeruginosa clone ST277. Infect Genet Evol. 2016 Aug 42:60-5. doi: 10.1016/j.meegid.2016.04.024. Epub 2016 Apr 21. ",27108807,The end coordinate is an approximations based on the given start coordinate and size.,KT454971.1_557921_605434.fasta,,,
PAGI-15,,carrying the blaGES-24 gene,,"Pseudomonas aeruginosa ST235, isolate IH2",,KX196168,118.7,,,"Hong JS, Yoon EJ, Lee H, Jeong SH, Lee K. Clonal Dissemination of Pseudomonas aeruginosa Sequence Type 235 Isolates Carrying blaIMP-6 and Emergence of blaGES-24 and blaIMP-10 on Novel Genomic Islands PAGI-15 and -16 in South Korea. Antimicrob Agents Chemother. 2016 60(12):7216-7223. Published 2016 Nov 21. doi:10.1128/AAC.01601-16",27671068,,,,,
PAGI-16,,carrying the blaIMP-10 gene,61.4,"Pseudomonas aeruginosa ST235, isolate BP14",,KX196169.1,69.208?,,,"Hong JS, Yoon EJ, Lee H, Jeong SH, Lee K. Clonal Dissemination of Pseudomonas aeruginosa Sequence Type 235 Isolates Carrying blaIMP-6 and Emergence of blaGES-24 and blaIMP-10 on Novel Genomic Islands PAGI-15 and -16 in South Korea. Antimicrob Agents Chemother. 2016 60(12):7216-7223. Published 2016 Nov 21. doi:10.1128/AAC.01601-16",27671068,,KX196169.1.fasta,,,
PAGI-16,,carrying the blaIMP-6 gene,61.4,"Pseudomonas aeruginosa ST235, isolate KMU11",,KX196167.1,95,,,"Hong JS, Yoon EJ, Lee H, Jeong SH, Lee K. Clonal Dissemination of Pseudomonas aeruginosa Sequence Type 235 Isolates Carrying blaIMP-6 and Emergence of blaGES-24 and blaIMP-10 on Novel Genomic Islands PAGI-15 and -16 in South Korea. Antimicrob Agents Chemother. 2016 60(12):7216-7223. Published 2016 Nov 21. doi:10.1128/AAC.01601-16",27671068,,KX196167.1.fasta,,,
esp_PAI,,"Code for virulence traits Esp and cytolysin, and also an aggregation substance which contributes to bacterial clumping. Appears to code for a DNA-damage-inducible protein, an AraC-like transcriptional regulator, a conguated bile acid hydrolase, compoenents of the phosphotransferase system, and a Gls24-like starvation-inducible protein.",32.2,Enterococcus faecalis MMH594,,AF454824.1,153.6,,,"Leavis H, Top J, Shankar N, et al. A novel putative enterococcal pathogenicity island linked to the esp virulence gene of Enterococcus faecium and associated with epidemicity. J Bacteriol. 2004 186(3):672-682. doi:10.1128/jb.186.3.672-682.2004; Shankar, N., Baghdayan, A. & Gilmore, M. Modulation of virulence within a pathogenicity island in vancomycin-resistant Enterococcus faecalis. Nature 417, 746-750 (2002). https://doi.org/10.1038/nature00802 "," 14729692 ,12066186",,AF454824.1.fasta,,,
esp_PAI,,Encodes the Esp protein,G+C content of the individual ORFs of the pathogenicity island are listed in the Leavis et al. paper and average to 34.2%,Enterococcus faecium E300 ,,AY322150.1,14.6,,,"Leavis H, Top J, Shankar N, et al. A novel putative enterococcal pathogenicity island linked to the esp virulence gene of Enterococcus faecium and associated with epidemicity. J Bacteriol. 2004 186(3):672-682. doi:10.1128/jb.186.3.672-682.2004", 14729692,,AY322150.1.fasta,,,
,,Putatively codes for capsule-like genes and putative exopolysaccharide synthesis. Contains a bile acid hydrolase; (cbh) and lactose metabolic pathway genes (lacABCDEFG),,Enterococcus faecalis D32,NC_018221,,138,1901082,2032259,"Zischka M, Künne CT, Blom J, et al. Comprehensive molecular, genomic and phenotypic analysis of a major clone of Enterococcus faecalis MLST ST40. BMC Genomics. 2015 16(1):175. Published 2015 Mar 12. doi:10.1186/s12864-015-1367-x", 25887115,,,,,
esp PAI,,"Contains the esp gene which codes for the Esp protein (200kDa), a putative multi-drug transporter, and a putative manganese uptake proteins. These genes supposedly increase virulence",35.7,Enterococcus faecium E1162,,,64,41626,105121,"van Schaik W, Top J, Riley DR, et al. Pyrosequencing-based comparative genome analysis of the nosocomial pathogen Enterococcus faecium and identification of a large transferable pathogenicity island. BMC Genomics. 2010 11:239. Published 2010 Apr 14. doi:10.1186/1471-2164-11-239; Qin X, Galloway-Peña JR, Sillanpaa J, et al. Complete genome sequence of Enterococcus faecium strain TX16 and comparative genomic analysis of Enterococcus faecium genomes. BMC Microbiol. 2012 12:135. Published 2012 Jul 7. doi:10.1186/1471-2180-12-135","20398277, 22769602",Determined the coordinates by aligning the 54bp repeats from Supplementary file 9 (van Schaik paper) to the contig that contains the esp gene,,,,
esp PAI,,"Contains the esp gene which codes for the Esp protein (200kDa), a putative multi-drug transporter, and a putative manganese uptake proteins. These genes supposedly increase virulence This PAI also includes a 7-kb insertion which encodes a complete pathway for inositol metabolism.",36.6,Enterococcus faecium E1679,,,104,14160,118150,"van Schaik W, Top J, Riley DR, et al. Pyrosequencing-based comparative genome analysis of the nosocomial pathogen Enterococcus faecium and identification of a large transferable pathogenicity island. BMC Genomics. 2010 11:239. Published 2010 Apr 14. doi:10.1186/1471-2164-11-239; Qin X, Galloway-Peña JR, Sillanpaa J, et al. Complete genome sequence of Enterococcus faecium strain TX16 and comparative genomic analysis of Enterococcus faecium genomes. BMC Microbiol. 2012 12:135. Published 2012 Jul 7. doi:10.1186/1471-2180-12-135","20398277, 22769602",Determined the coordinates by aligning the 54bp repeats from Supplementary file 9 to the contig that contains the esp gene,,,,
esp PAI,,"Contains the esp gene which codes for the Esp protein (200kDa), a putative multi-drug transporter, and a putative manganese uptake proteins. These genes supposedly increase virulence",35.4,Enterococcus faecium U0317,,,68,79581,147957,"van Schaik W, Top J, Riley DR, et al. Pyrosequencing-based comparative genome analysis of the nosocomial pathogen Enterococcus faecium and identification of a large transferable pathogenicity island. BMC Genomics. 2010 11:239. Published 2010 Apr 14. doi:10.1186/1471-2164-11-239; Qin X, Galloway-Peña JR, Sillanpaa J, et al. Complete genome sequence of Enterococcus faecium strain TX16 and comparative genomic analysis of Enterococcus faecium genomes. BMC Microbiol. 2012 12:135. Published 2012 Jul 7. doi:10.1186/1471-2180-12-135","20398277, 22769602","Determined the end coordinates by aligning the 54bp repeats from Supplementary file 9 to the contig that contains the esp gene; For the start coordinate, had to align to the PAI from the other two genomes because the repeat is not part of that PAI any longer",,,,
,,Tentatively encodes a metabolic pathway involved in carbohydrate transport and metabolism,,Enterococcus faecium CC17,,,8.5,7621,16116,"Heikens E, van Schaik W, Leavis HL, Bonten MJ, Willems RJ. Identification of a novel genomic island specific to hospital-acquired clonal complex 17 Enterococcus faecium isolates. Appl Environ Microbiol. 2008 74(22):7094-7097. doi:10.1128/AEM.01378-08",18836023,,,,,
esp PAI,,Contains the enterococcal surface protein gene (esp),,Enterococcus faecium Aus0004,CP003351,,13.8,2808879,2822670,"Lam MM, Seemann T, Bulach DM, et al. Comparative analysis of the first complete Enterococcus faecium genome. J Bacteriol. 2012 194(9):2334-2341. doi:10.1128/JB.00259-12", 22366422,,,,,
IMEEfm15508,,"Contains the vanD operon, a putative bacitracin resistance operon, and ABC transporter systems, and antirestriction and Rel-type toxin proteins.",48.6,Enterococcus faecium N15-508,,KT825491,66.7,1571,68399,"D. A. Boyd, C. Lalancette, S. Lévesque, G. R. Golding, Characterization of a genomic island harbouring a new vanD allele from Enterococcus faecium N15-508 isolated in Canada, Journal of Antimicrobial Chemotherapy, Volume 71, Issue 7, July 2016, Pages 2052-2054 https://doi.org/10.1093/jac/dkw063",,Start and end coordinates taken from Fig. 1,,,,
VVI-II,,integrase,39,"Vibrio vulnificus YJ016, chr1",BA000037.2,,37,136327,173538,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-II_136327_173538.fasta,,,
VVI-III,,integrase,47,"Vibrio vulnificus YJ016, chr1",BA000037.2,,19,270098,289134,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-III_270098_289134.fasta,,,
VVI-IV,,,40,"Vibrio vulnificus YJ016, chr1",BA000037.2,,22,351253,373399,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-IV_351253_373399.fasta,,,
VVI-I,,integrase,43,"Vibrio vulnificus YJ016, chr1",BA000037.2,,43,498356,542524,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-I_498356_542524.fasta,,,
VVI-V,,integrase,41,"Vibrio vulnificus YJ016, chr1",BA000037.2,,20,803615,823489,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-V_803615_823489.fasta,,,
VVI-VI,,transposase,47,"Vibrio vulnificus YJ016, chr1",BA000037.2,,27,1608146,1634719,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-VI_1608146_1634719.fasta,,,
VVI-VII,,integrase,43,"Vibrio vulnificus YJ016, chr1",BA000037.2,,117,2164927,2282230,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-VII_2164927_2282230.fasta,,,
VVI-VIII,,integrase,46,"Vibrio vulnificus YJ016, chr2",BA000038.2,,58,917605,975677,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-VIII_917605_975677.fasta,,,
VVI-VIX,,integrase,48,"Vibrio vulnificus YJ016, chr2",BA000038.2,,14,1716070,1729872,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-VIX_1716070_1729872.fasta,,,
VVI-1,,integrase,38,"Vibrio vulnificus CMCP6, chr1",AE016795.1,,37,355066,391908,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-1_355066_391908.fasta,,,
VVI-2,,integrase,41,"Vibrio vulnificus CMCP6, chr1",AE016795.1,,33,2015372,2048196,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-2_2015372_2048196.fasta,,,
VVI-3,,integrase,46,"Vibrio vulnificus CMCP6, chr1",AE016795.1,,29,2183174,2212514,https://doi.org/10.1093/bioinformatics/btl015,16443635,,VVI-3_2183174_2212514.fasta,,,
VVI-4,,transposase,40,"Vibrio vulnificus CMCP6, chr1",AE016795.1,,47,3250426,15187,https://doi.org/10.1093/bioinformatics/btl015,16443635,,AE016795.1_3250426_15187.fasta,,,
